Posted,Rating,Content
Jan 24 2020 4:18 PM,5,Sleek look and easy to fit it on my nightstand with my phone charger.
Jan 24 2020 4:06 PM,5,I love my Google Mini she actually loves when I ask her to do something because I always say please it's so cute!!
Jan 24 2020 4:02 PM,4,It's a great place to start to learn about modern electronics.
Jan 24 2020 3:57 PM,4,I am enjoying it big time i love it very nice funny
Jan 24 2020 3:56 PM,5,This is a great product to start with if you are a beginner and/or starting to make your home a smart home.
Jan 24 2020 3:54 PM,5,Very Happy with the service and help I got at Best Buy.
Jan 24 2020 3:46 PM,5,"Simply smart
Plug and play and you will find you use it more and more with time."
Jan 24 2020 3:08 PM,5,I have enjoies my google home and it works well with google.  It is a little tricky to set up with 3rd party apps but eventually you will get them to work
Jan 24 2020 9:10 AM,5,Very nice and small maybe the sound from the Amazon echo 3 is powerful but you can say its about the same performing
Jan 24 2020 1:51 AM,5,I use these in nearly every room of the house to supplement and expand coverage for my Nest Hub. Great audio range and small enough to tuck away out of sight.
Jan 23 2020 12:37 PM,5,Bought this as a present for my kids and they love it. Makes the tech in their room even more accessible and more efficient.
Jan 23 2020 11:56 AM,5,We have a couple of these and we love both of them. We have attached some of our lights to them so we can turn them off and on with our voice which is pretty cool
Jan 23 2020 1:16 AM,4,The speaker doesn’t have the beat quality but I keep it at my bedside and use it to control my TV. For the price I paid It was well worth it.
Jan 22 2020 11:57 PM,5,We all know what the Google home is by now. I haven't tried the 2nd gen but this first one does everything I need it to do pretty well. Surprisingly it even plays music with decent quality. If you have a smart home or are just starting out you can't go wrong with a mini!
Jan 22 2020 5:17 PM,4,I ranked 4 stars because I have an Alexa and bought this for a friend and we did some tests and we notice that the Home Mini is supported in less products than Alexa also that some times Home Mini will not understand you and you will be almost shouting but it will do the basic stuff for the price.
Jan 22 2020 6:13 AM,5,Easy to set up and easy to use. Solid construction and doesn't take up much space. The sound is better than I expected. I use it multiple times a day.
Jan 21 2020 8:23 PM,5,Easy to use great assistant. And I absolutely love playing music on it!
Jan 21 2020 6:28 PM,5,This is a great Product for remembering to take medication and not forgetting your lunch!  easy to set up and use!
